yellow line angle: 99999.992188, obstacle angle: -0.008727, obstacle dist: 0.000000, obstacle steering: inf, steer: 0.000000, speed: 10.000000
 yellow line angle: 0.000408, obstacle angle: 0.104720, obstacle dist: 16.994211, obstacle steering: -0.004412, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.000264, obstacle angle: 0.113446, obstacle dist: 17.002579, obstacle steering: -0.003894, steer: 0.004137, speed: 10.000000
 yellow line angle: -0.000057, obstacle angle: 0.113446, obstacle dist: 16.826815, obstacle steering: -0.003978, steer: -0.003978, speed: 10.000000
 yellow line angle: -0.000383, obstacle angle: 0.113446, obstacle dist: 16.668329, obstacle steering: -0.012171, steer: -0.012171, speed: 10.000000
 yellow line angle: -0.000645, obstacle angle: 0.113446, obstacle dist: 16.515442, obstacle steering: -0.020439, steer: -0.020439, speed: 10.000000
 yellow line angle: -0.000130, obstacle angle: 0.113446, obstacle dist: 16.367191, obstacle steering: -0.028782, steer: -0.020439, speed: 10.000000
 yellow line angle: 0.000065, obstacle angle: 0.113446, obstacle dist: 16.221172, obstacle steering: -0.028857, steer: -0.020439, speed: 10.000000
 yellow line angle: 0.000198, obstacle angle: 0.113446, obstacle dist: 16.084164, obstacle steering: -0.028929, steer: -0.020439, speed: 10.000000
 yellow line angle: 0.000068, obstacle angle: 0.113446, obstacle dist: 15.955164, obstacle steering: -0.028997, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.000703, obstacle angle: 0.113446, obstacle dist: 15.837778, obstacle steering: -0.037619, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.001862, obstacle angle: 0.122173, obstacle dist: 15.567019, obstacle steering: -0.037209, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.002828, obstacle angle: 0.130900, obstacle dist: 15.530809, obstacle steering: -0.036666, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.003741, obstacle angle: 0.130900, obstacle dist: 15.349499, obstacle steering: -0.036757, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.005444, obstacle angle: 0.130900, obstacle dist: 15.185348, obstacle steering: -0.036840, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.007473, obstacle angle: 0.130900, obstacle dist: 15.030220, obstacle steering: -0.036921, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.009063, obstacle angle: 0.130900, obstacle dist: 14.882265, obstacle steering: -0.037000, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.009686, obstacle angle: 0.139626, obstacle dist: 14.840164, obstacle steering: -0.036435, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.011379, obstacle angle: 0.139626, obstacle dist: 14.662663, obstacle steering: -0.036525, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.013523, obstacle angle: 0.139626, obstacle dist: 14.510042, obstacle steering: -0.036604, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.015569, obstacle angle: 0.139626, obstacle dist: 14.368654, obstacle steering: -0.036679, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.016371, obstacle angle: 0.139626, obstacle dist: 14.237113, obstacle steering: -0.036750, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.018147, obstacle angle: 0.148353, obstacle dist: 14.176161, obstacle steering: -0.036168, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.020788, obstacle angle: 0.148353, obstacle dist: 14.032249, obstacle steering: -0.036241, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.022752, obstacle angle: 0.157080, obstacle dist: 13.824736, obstacle steering: -0.035719, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.024139, obstacle angle: 0.157080, obstacle dist: 13.682282, obstacle steering: -0.035789, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.024946, obstacle angle: 0.157080, obstacle dist: 13.548793, obstacle steering: -0.035856, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.027708, obstacle angle: 0.165806, obstacle dist: 13.471516, obstacle steering: -0.035247, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.030312, obstacle angle: 0.165806, obstacle dist: 13.332861, obstacle steering: -0.035312, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.032183, obstacle angle: 0.174533, obstacle dist: 13.138791, obstacle steering: -0.034741, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.033734, obstacle angle: 0.174533, obstacle dist: 12.998687, obstacle steering: -0.034803, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.035053, obstacle angle: 0.183259, obstacle dist: 12.930393, obstacle steering: -0.034159, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.037936, obstacle angle: 0.183259, obstacle dist: 12.776389, obstacle steering: -0.034221, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.039599, obstacle angle: 0.183259, obstacle dist: 12.647139, obstacle steering: -0.034274, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.041487, obstacle angle: 0.191986, obstacle dist: 12.455284, obstacle steering: -0.033655, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.043514, obstacle angle: 0.200713, obstacle dist: 12.383387, obstacle steering: -0.032977, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.045508, obstacle angle: 0.200713, obstacle dist: 12.227841, obstacle steering: -0.033028, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.047931, obstacle angle: 0.200713, obstacle dist: 12.093336, obstacle steering: -0.033073, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.049829, obstacle angle: 0.200713, obstacle dist: 11.984655, obstacle steering: -0.033110, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.052291, obstacle angle: 0.218166, obstacle dist: 11.831479, obstacle steering: -0.031688, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.053760, obstacle angle: 0.218166, obstacle dist: 11.682517, obstacle steering: -0.031722, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.055518, obstacle angle: 0.218166, obstacle dist: 11.550955, obstacle steering: -0.031753, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.058252, obstacle angle: 0.226893, obstacle dist: 11.481075, obstacle steering: -0.031010, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.061179, obstacle angle: 0.235619, obstacle dist: 11.281282, obstacle steering: -0.030272, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.063347, obstacle angle: 0.235619, obstacle dist: 11.141036, obstacle steering: -0.030288, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.064946, obstacle angle: 0.244346, obstacle dist: 11.072359, obstacle steering: -0.029508, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.067143, obstacle angle: 0.244346, obstacle dist: 10.932797, obstacle steering: -0.029515, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.069636, obstacle angle: 0.253073, obstacle dist: 10.739010, obstacle steering: -0.028711, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.071991, obstacle angle: 0.261799, obstacle dist: 10.665377, obstacle steering: -0.027891, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.074584, obstacle angle: 0.261799, obstacle dist: 10.517428, obstacle steering: -0.027875, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.077162, obstacle angle: 0.270526, obstacle dist: 10.340193, obstacle steering: -0.027012, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.078785, obstacle angle: 0.279252, obstacle dist: 10.254846, obstacle steering: -0.026145, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.080471, obstacle angle: 0.279252, obstacle dist: 10.114226, obstacle steering: -0.026105, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.082804, obstacle angle: 0.287979, obstacle dist: 9.944450, obstacle steering: -0.025178, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.085850, obstacle angle: 0.296706, obstacle dist: 9.849847, obstacle steering: -0.024256, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.087970, obstacle angle: 0.296706, obstacle dist: 9.717304, obstacle steering: -0.024191, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.090093, obstacle angle: 0.305432, obstacle dist: 9.552346, obstacle steering: -0.023194, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.092396, obstacle angle: 0.305432, obstacle dist: 9.430523, obstacle steering: -0.023119, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.095304, obstacle angle: 0.305432, obstacle dist: 9.325194, obstacle steering: -0.023053, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.097855, obstacle angle: 0.314159, obstacle dist: 9.163184, obstacle steering: -0.021996, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.100557, obstacle angle: 0.314159, obstacle dist: 9.062520, obstacle steering: -0.021918, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.103262, obstacle angle: 0.314159, obstacle dist: 8.990010, obstacle steering: -0.021861, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.105838, obstacle angle: 0.322886, obstacle dist: 8.820908, obstacle steering: -0.020735, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.108283, obstacle angle: 0.322886, obstacle dist: 8.753136, obstacle steering: -0.020671, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.110963, obstacle angle: 0.331612, obstacle dist: 8.598452, obstacle steering: -0.019506, steer: -0.028997, speed: 10.000000
 yellow line angle: 0.113393, obstacle angle: 0.331612, obstacle dist: 8.552448, obstacle steering: -0.019455, steer: -0.028997, speed: 10.000000
 yellow line angle: -0.014624, obstacle angle: -0.139626, obstacle dist: 19.885605, obstacle steering: 0.001683, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.014699, obstacle angle: -0.139626, obstacle dist: 19.745626, obstacle steering: 0.001722, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.014967, obstacle angle: -0.148353, obstacle dist: 19.732855, obstacle steering: 0.001284, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.015272, obstacle angle: -0.148353, obstacle dist: 19.575861, obstacle steering: 0.001325, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.015421, obstacle angle: -0.148353, obstacle dist: 19.423325, obstacle steering: 0.001366, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.015474, obstacle angle: -0.148353, obstacle dist: 19.273174, obstacle steering: 0.001406, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.014959, obstacle angle: -0.148353, obstacle dist: 19.125172, obstacle steering: 0.001447, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.015270, obstacle angle: -0.148353, obstacle dist: 18.977627, obstacle steering: 0.001489, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.016925, obstacle angle: -0.148353, obstacle dist: 18.834219, obstacle steering: 0.001529, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.018878, obstacle angle: -0.148353, obstacle dist: 18.690582, obstacle steering: 0.001571, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.020739, obstacle angle: -0.148353, obstacle dist: 18.546886, obstacle steering: 0.001613, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.021310, obstacle angle: -0.148353, obstacle dist: 18.405476, obstacle steering: 0.001655, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.022474, obstacle angle: -0.148353, obstacle dist: 18.265566, obstacle steering: 0.001697, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.022904, obstacle angle: -0.148353, obstacle dist: 18.125793, obstacle steering: 0.001740, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.023361, obstacle angle: -0.148353, obstacle dist: 17.986786, obstacle steering: 0.001784, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.023366, obstacle angle: -0.148353, obstacle dist: 17.848845, obstacle steering: 0.001827, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.023849, obstacle angle: -0.148353, obstacle dist: 17.711845, obstacle steering: 0.001871, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.024264, obstacle angle: -0.148353, obstacle dist: 17.575483, obstacle steering: 0.001916, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.024575, obstacle angle: -0.157080, obstacle dist: 17.547638, obstacle steering: 0.001428, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.024420, obstacle angle: -0.157080, obstacle dist: 17.382040, obstacle steering: 0.001478, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.024400, obstacle angle: -0.157080, obstacle dist: 17.231373, obstacle steering: 0.001525, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.025419, obstacle angle: -0.157080, obstacle dist: 17.084690, obstacle steering: 0.001571, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.026351, obstacle angle: -0.157080, obstacle dist: 16.942928, obstacle steering: 0.001617, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.027720, obstacle angle: -0.157080, obstacle dist: 16.801455, obstacle steering: 0.001663, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.027818, obstacle angle: -0.157080, obstacle dist: 16.663910, obstacle steering: 0.001709, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.028371, obstacle angle: -0.157080, obstacle dist: 16.526791, obstacle steering: 0.001755, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.028918, obstacle angle: -0.157080, obstacle dist: 16.391714, obstacle steering: 0.001801, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.029819, obstacle angle: -0.157080, obstacle dist: 16.260090, obstacle steering: 0.001847, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.030420, obstacle angle: -0.157080, obstacle dist: 16.128290, obstacle steering: 0.001894, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.030792, obstacle angle: -0.157080, obstacle dist: 16.002583, obstacle steering: 0.001939, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.030853, obstacle angle: -0.157080, obstacle dist: 15.885763, obstacle steering: 0.001982, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.031368, obstacle angle: -0.165806, obstacle dist: 15.646246, obstacle steering: 0.001514, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.031431, obstacle angle: -0.174533, obstacle dist: 15.595260, obstacle steering: 0.000972, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.032182, obstacle angle: -0.174533, obstacle dist: 15.440011, obstacle steering: 0.001020, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.032687, obstacle angle: -0.174533, obstacle dist: 15.290514, obstacle steering: 0.001068, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.033959, obstacle angle: -0.174533, obstacle dist: 15.145626, obstacle steering: 0.001115, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.034847, obstacle angle: -0.174533, obstacle dist: 15.002363, obstacle steering: 0.001163, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.035601, obstacle angle: -0.174533, obstacle dist: 14.862999, obstacle steering: 0.001210, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.035734, obstacle angle: -0.174533, obstacle dist: 14.723703, obstacle steering: 0.001258, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.036163, obstacle angle: -0.174533, obstacle dist: 14.587486, obstacle steering: 0.001306, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.036592, obstacle angle: -0.174533, obstacle dist: 14.453607, obstacle steering: 0.001354, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.037326, obstacle angle: -0.174533, obstacle dist: 14.320303, obstacle steering: 0.001402, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.037486, obstacle angle: -0.183259, obstacle dist: 14.266479, obstacle steering: 0.000811, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.037972, obstacle angle: -0.183259, obstacle dist: 14.105030, obstacle steering: 0.000864, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.037852, obstacle angle: -0.183259, obstacle dist: 13.965874, obstacle steering: 0.000911, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.038419, obstacle angle: -0.183259, obstacle dist: 13.834649, obstacle steering: 0.000957, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.038275, obstacle angle: -0.191986, obstacle dist: 13.628828, obstacle steering: 0.000389, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.038937, obstacle angle: -0.191986, obstacle dist: 13.486957, obstacle steering: 0.000434, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.039324, obstacle angle: -0.191986, obstacle dist: 13.346053, obstacle steering: 0.000479, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.040301, obstacle angle: -0.191986, obstacle dist: 13.208479, obstacle steering: 0.000525, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.040681, obstacle angle: -0.191986, obstacle dist: 13.072022, obstacle steering: 0.000571, steer: -0.003868, speed: 10.000000
 yellow line angle: -0.041247, obstacle angle: -0.200713, obstacle dist: 13.006966, obstacle steering: -0.000078, steer: -0.020937, speed: 10.000000
 yellow line angle: -0.041489, obstacle angle: -0.200713, obstacle dist: 12.852924, obstacle steering: -0.017102, steer: -0.020598, speed: 10.000000
 yellow line angle: -0.041691, obstacle angle: -0.200713, obstacle dist: 12.708012, obstacle steering: -0.016719, steer: -0.020820, speed: 10.000000
 yellow line angle: -0.041828, obstacle angle: -0.200713, obstacle dist: 12.568169, obstacle steering: -0.016898, steer: -0.020972, speed: 10.000000
 yellow line angle: -0.041902, obstacle angle: -0.200713, obstacle dist: 12.429364, obstacle steering: -0.017007, steer: -0.021119, speed: 10.000000
 yellow line angle: -0.041945, obstacle angle: -0.200713, obstacle dist: 12.291868, obstacle steering: -0.017109, steer: -0.021317, speed: 10.000000
 yellow line angle: -0.041384, obstacle angle: -0.200713, obstacle dist: 12.154562, obstacle steering: -0.017262, steer: -0.020218, speed: 10.000000
 yellow line angle: -0.040953, obstacle angle: -0.200713, obstacle dist: 12.017931, obstacle steering: -0.016117, steer: -0.020616, speed: 10.000000
 yellow line angle: -0.040931, obstacle angle: -0.200713, obstacle dist: 11.884429, obstacle steering: -0.016469, steer: -0.021674, speed: 10.000000
 yellow line angle: -0.040695, obstacle angle: -0.200713, obstacle dist: 11.751477, obstacle steering: -0.017480, steer: -0.021431, speed: 10.000000
 yellow line angle: -0.040520, obstacle angle: -0.200713, obstacle dist: 11.618286, obstacle steering: -0.017189, steer: -0.021754, speed: 10.000000
 yellow line angle: -0.039502, obstacle angle: -0.209439, obstacle dist: 11.538171, obstacle steering: -0.018239, steer: -0.020049, speed: 10.000000
 yellow line angle: -0.038950, obstacle angle: -0.209439, obstacle dist: 11.399518, obstacle steering: -0.016491, steer: -0.021076, speed: 10.000000
 yellow line angle: -0.038439, obstacle angle: -0.218166, obstacle dist: 11.195300, obstacle steering: -0.018233, steer: -0.021263, speed: 10.000000
 yellow line angle: -0.038377, obstacle angle: -0.218166, obstacle dist: 11.050903, obstacle steering: -0.018382, steer: -0.022375, speed: 10.000000
 yellow line angle: -0.037276, obstacle angle: -0.218166, obstacle dist: 10.908188, obstacle steering: -0.019457, steer: -0.020243, speed: 10.000000
 yellow line angle: -0.035833, obstacle angle: -0.218166, obstacle dist: 10.766932, obstacle steering: -0.017287, steer: -0.019416, speed: 10.000000
 yellow line angle: -0.034383, obstacle angle: -0.218166, obstacle dist: 10.627180, obstacle steering: -0.016421, steer: -0.019246, speed: 10.000000
 yellow line angle: -0.033407, obstacle angle: -0.218166, obstacle dist: 10.488457, obstacle steering: -0.016211, steer: -0.020148, speed: 10.000000
 yellow line angle: -0.032867, obstacle angle: -0.218166, obstacle dist: 10.351741, obstacle steering: -0.017073, steer: -0.021085, speed: 10.000000
 yellow line angle: -0.032293, obstacle angle: -0.218166, obstacle dist: 10.215570, obstacle steering: -0.017969, steer: -0.021065, speed: 10.000000
 yellow line angle: -0.032414, obstacle angle: -0.226893, obstacle dist: 10.123515, obstacle steering: -0.018783, steer: -0.022681, speed: 10.000000
 yellow line angle: -0.032164, obstacle angle: -0.226893, obstacle dist: 9.979144, obstacle steering: -0.020365, steer: -0.022069, speed: 10.000000
 yellow line angle: -0.032201, obstacle angle: -0.226893, obstacle dist: 9.838573, obstacle steering: -0.019720, steer: -0.022847, speed: 10.000000
 yellow line angle: -0.031234, obstacle angle: -0.226893, obstacle dist: 9.699101, obstacle steering: -0.020464, steer: -0.020783, speed: 10.000000
 yellow line angle: -0.030043, obstacle angle: -0.226893, obstacle dist: 9.563528, obstacle steering: -0.018367, steer: -0.020219, speed: 10.000000
 yellow line angle: -0.027947, obstacle angle: -0.226893, obstacle dist: 9.428886, obstacle steering: -0.017768, steer: -0.018050, speed: 10.000000
 yellow line angle: -0.026704, obstacle angle: -0.226893, obstacle dist: 9.298742, obstacle steering: -0.015565, steer: -0.019606, speed: 10.000000
 yellow line angle: -0.025619, obstacle angle: -0.235619, obstacle dist: 9.207573, obstacle steering: -0.018045, steer: -0.019806, speed: 10.000000
 yellow line angle: -0.025146, obstacle angle: -0.244346, obstacle dist: 9.012938, obstacle steering: -0.019179, steer: -0.021061, speed: 10.000000
 yellow line angle: -0.024372, obstacle angle: -0.244346, obstacle dist: 8.869503, obstacle steering: -0.020424, steer: -0.020424, speed: 10.000000
 yellow line angle: -0.024221, obstacle angle: -0.244346, obstacle dist: 8.729169, obstacle steering: -0.019776, steer: -0.021765, speed: 10.000000
 yellow line angle: -0.024035, obstacle angle: -0.244346, obstacle dist: 8.591088, obstacle steering: -0.021107, steer: -0.021795, speed: 10.000000
 yellow line angle: -0.023679, obstacle angle: -0.253073, obstacle dist: 8.506254, obstacle steering: -0.022156, steer: -0.022156, speed: 10.000000
 yellow line angle: -0.023030, obstacle angle: -0.253073, obstacle dist: 8.352732, obstacle steering: -0.022524, steer: -0.022524, speed: 10.000000
 yellow line angle: -0.022146, obstacle angle: -0.253073, obstacle dist: 8.212553, obstacle steering: -0.022898, steer: -0.022898, speed: 10.000000
 yellow line angle: -0.020766, obstacle angle: -0.253073, obstacle dist: 8.075317, obstacle steering: -0.023279, steer: -0.023279, speed: 10.000000
 yellow line angle: -0.018944, obstacle angle: -0.253073, obstacle dist: 7.942783, obstacle steering: -0.023666, steer: -0.023666, speed: 10.000000
 yellow line angle: -0.017666, obstacle angle: -0.270526, obstacle dist: 7.813972, obstacle steering: -0.026293, steer: -0.026293, speed: 10.000000
 yellow line angle: -0.017056, obstacle angle: -0.270526, obstacle dist: 7.661884, obstacle steering: -0.028972, steer: -0.028972, speed: 10.000000
 yellow line angle: -0.016455, obstacle angle: -0.196973, obstacle dist: 9.295873, obstacle steering: -0.023267, steer: -0.023267, speed: 10.000000
 yellow line angle: -0.015350, obstacle angle: -0.098902, obstacle dist: 11.564763, obstacle steering: -0.010202, steer: -0.018834, speed: 10.000000
 yellow line angle: -0.013516, obstacle angle: -0.122173, obstacle dist: 11.049038, obstacle steering: -0.007265, steer: -0.017002, speed: 10.000000
 yellow line angle: -0.012075, obstacle angle: -0.160958, obstacle dist: 9.904686, obstacle steering: -0.008012, steer: -0.017499, speed: 10.000000
 yellow line angle: -0.011061, obstacle angle: -0.160958, obstacle dist: 9.767511, obstacle steering: -0.008382, steer: -0.018165, speed: 10.000000
 yellow line angle: -0.010399, obstacle angle: -0.160958, obstacle dist: 9.640416, obstacle steering: -0.008928, steer: -0.018765, speed: 10.000000
 yellow line angle: -0.009432, obstacle angle: -0.129154, obstacle dist: 10.487680, obstacle steering: -0.007242, steer: -0.017972, speed: 10.000000
 yellow line angle: -0.008059, obstacle angle: -0.129154, obstacle dist: 10.346853, obstacle steering: -0.006293, steer: -0.016863, speed: 10.000000
 yellow line angle: -0.007480, obstacle angle: -0.129154, obstacle dist: 10.223088, obstacle steering: -0.005042, steer: -0.018353, speed: 10.000000
 yellow line angle: -0.006561, obstacle angle: -0.170654, obstacle dist: 9.089314, obstacle steering: -0.009623, steer: -0.017481, speed: 10.000000
 yellow line angle: -0.005853, obstacle angle: -0.170654, obstacle dist: 8.967195, obstacle steering: -0.008633, steer: -0.017761, speed: 10.000000
